Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
IDFC Ltd,Financial Services,2432755026.8,2632280000,4.52,20783896,-216104.0,-1.03,/mutual-fund/holding-history/137723/590/,Tata Small Cap Fund Dir Gr
Quess Corp Ltd,Industrials,2367706880.0,2512566000,4.32,4804600,,,/mutual-fund/holding-history/137723/4595/,Tata Small Cap Fund Dir Gr
BASF India Ltd,Basic Materials,2259279553.35,2339781000,4.02,763051,,,/mutual-fund/holding-history/137723/166/,Tata Small Cap Fund Dir Gr
Radico Khaitan Ltd,Consumer Defensive,2033062500.0,2072813000,3.56,1250000,-69276.0,-5.25,/mutual-fund/holding-history/137723/1090/,Tata Small Cap Fund Dir Gr
ELANTAS Beck India Ltd,Basic Materials,1795397207.0,1832682000,3.15,215767,,,/mutual-fund/holding-history/137723/2035/,Tata Small Cap Fund Dir Gr
Keystone Realtors Ltd,Real Estate,1949573012.0,1750514000,3.01,2734324,,,/mutual-fund/holding-history/137723/1131322/,Tata Small Cap Fund Dir Gr
UTI Asset Management Co Ltd,Financial Services,1761677650.0,1703302000,2.93,1965500,,,/mutual-fund/holding-history/137723/305194/,Tata Small Cap Fund Dir Gr
Krsnaa Diagnostics Ltd,Healthcare,1663460700.0,1686634000,2.9,2389000,,,/mutual-fund/holding-history/137723/620545/,Tata Small Cap Fund Dir Gr
Gujarat Pipavav Port Ltd,Industrials,1845046889.5,1662063000,2.86,10859605,,,/mutual-fund/holding-history/137723/487/,Tata Small Cap Fund Dir Gr
Redington Ltd,Technology,1597050000.0,1591200000,2.73,9000000,,,/mutual-fund/holding-history/137723/1120/,Tata Small Cap Fund Dir Gr
CE Info Systems Ltd,Technology,1548840264.95,1558979000,2.68,801449,-3913.0,-0.49,/mutual-fund/holding-history/137723/750563/,Tata Small Cap Fund Dir Gr
Netweb Technologies India Ltd,Technology,1814734845.0,1529788000,2.63,1288188,,,/mutual-fund/holding-history/137723/1544933/,Tata Small Cap Fund Dir Gr
CIE Automotive India Ltd,Consumer Cyclical,1536726622.65,1513100000,2.6,3214573,,,/mutual-fund/holding-history/137723/816/,Tata Small Cap Fund Dir Gr
DCB Bank Ltd,Financial Services,1542256048.0,1506535000,2.59,11340118,,,/mutual-fund/holding-history/137723/311/,Tata Small Cap Fund Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,1370200000.0,1445600000,2.48,2000000,-473862.0,-19.15,/mutual-fund/holding-history/137723/191143/,Tata Small Cap Fund Dir Gr
KSB Ltd,Industrials,1472933014.5,1425243000,2.45,411118,,,/mutual-fund/holding-history/137723/768/,Tata Small Cap Fund Dir Gr
